1:12.120000:76.680000:Nanjangud, Mysore, Karnataka, India
2:24.879999:74.629997:Chittorgarh, Rajasthan, India
3:16.994444:73.300003:Ratnagiri, Maharashtra, India
4:19.155001:72.849998:Goregaon, Mumbai, Maharashtra, India
5:24.794500:73.055000:Pindwara, Rajasthan, India
6:21.250000:81.629997:Raipur, Chhattisgarh, India
7:16.166700:74.833298:Gokak, Karnataka, India
8:26.850000:80.949997:Lucknow, Uttar Pradesh, India
9:28.679079:77.069710:Delhi, India
10:19.076090:72.877426:Mumbai, Maharashtra, India
11:14.167040:75.040298:Sagar, Karnataka, India
12:26.540457:88.719391:Jalpaiguri, West Bengal, India
13:24.633568:87.849251:Pakur, Jharkhand, India
14:28.440554:74.493011:Sardarshahar, Rajasthan, India
15:24.882618:72.858894:Sirohi, Rajasthan, India
16:16.779877:74.556374:Jaysingpur, Maharashtra, India
17:12.715035:77.281296:Ramanagara, Karnataka, India
18:13.432515:77.727478:Chikkaballapura, Karnataka, India
19:12.651805:77.208946:Channapatna, Karnataka, India
20:22.728392:71.637077:Surendranagar, Gujarat, India
21:9.383452:76.574059:Thiruvalla, Kerala, India
22:14.623801:75.621788:Ranebennur, Karnataka, India
23:10.925440:79.838005:Karaikal, Puducherry, India
24:15.852792:74.498703:Belgaum, Karnataka, India
25:19.354979:84.986732:Chatrapur, Odisha, India
26:23.905445:87.524620:Suri, West Bengal, India
27:20.296059:85.824539:Bhubaneswar, Odisha, India
28:21.105001:71.771645:Mahuva, Gujarat, India
29:30.172716:77.299492:Jagadhri, Haryana, India
30:25.477585:85.709091:Barh, Bihar, India
31:21.045521:75.801094:Bhusawal, Maharashtra, India
32:26.491890:89.527100:Alipurduar, West Bengal, India
33:8.893212:76.614143:Kollam, Kerala, India
34:22.430889:87.321487:Medinipur, West Bengal, India
35:23.849325:72.126625:Patan, Gujarat, India
36:11.786253:77.800781:Mettur, Tamil Nadu, India
37:13.583274:76.540154:Huliyar, Karnataka, India
38:14.530457:75.801094:Harihar, Karnataka, India
39:18.901457:73.176132:Rasayani, Maharashtra, India
40:22.960510:88.567406:Haringhata, West Bengal, India
41:15.756595:76.192696:Kushtagi, Karnataka, India
42:22.656015:86.352882:Jadugora, Jharkhand, India
43:25.989836:79.450035:Orai, Uttar Pradesh, India
44:23.223047:82.870560:Surajpur, Chhattisgarh, India
45:19.186354:73.191948:Ambernath, Maharashtra, India
46:30.525005:75.890121:Malerkotla, Punjab, India
47:22.422455:85.760651:Jorapokhar, Jharkhand, India
48:18.106659:83.395554:Vizianagaram, Andhra Pradesh, India
49:21.190449:81.284920:Durg, Chhattisgarh, India
50:23.597969:72.969818:Himmatnagar, Gujarat, India
51:28.590361:78.571762:Sambhal, Uttar Pradesh, India
52:25.369179:85.530060:Harnaut, Bihar, India
53:11.623377:92.726486:Port Blair, Andaman and Nicobar Islands, India
54:24.618393:88.024338:Suti, West Bengal, India
55:23.546757:74.433830:Banswara, Rajasthan, India
56:41.643414:41.639900:Batumi, Adjara, Georgia
57:25.077787:87.900375:Manikchak, West Bengal, India
58:29.854263:77.888000:Roorkee, Uttarakhand, India
59:14.913181:79.992981:Kavali, Andhra Pradesh, India
60:14.413745:77.712616:Dharmavaram, Andhra Pradesh, India
61:18.101904:78.852074:Siddipet, Telangana, India
62:23.173939:81.565125:Dhanpuri, Madhya Pradesh, India
63:15.812074:80.355377:Chirala, Andhra Pradesh, India
64:15.764501:79.259491:Markapur, Andhra Pradesh, India
65:10.311879:76.331978:Chalakudy, Kerala, India
66:21.961946:70.792297:Gondal, Gujarat, India
67:16.544893:81.521240:Bhimavaram, Andhra Pradesh, India
68:21.049540:76.532028:Jalgaon Jamod, Maharashtra, India
69:26.182245:91.754723:Paltan Bazaar, Guwahati, Assam, India
70:27.897551:77.384117:Hodal, Haryana, India
71:18.245655:76.505356:Ausa, Maharashtra, India
72:23.486839:75.659157:Mahidpur, Madhya Pradesh, India
73:32.041943:75.405334:Gurdaspur, Punjab, India
74:24.474380:85.688744:Domchanch, Jharkhand, India
75:23.427221:87.287018:Barjora, West Bengal, India
76:19.487707:75.380768:Saint Dnyaneshwar Garden and Paithan park, Paithen, Maharashtra, India
77:19.853060:74.000633:Sinnar, Maharashtra, India
78:15.167409:77.373627:Guntakal, Andhra Pradesh, India
79:24.417534:88.250343:Lalgola, West Bengal, India
80:22.744108:77.736969:Hoshangabad, Madhya Pradesh, India
81:14.752805:78.552757:Proddatur, Andhra Pradesh, India
82:23.520399:87.311897:RL Infotechh & Solutions, Durgapur, India
83:25.771315:73.323685:Pali, Rajasthan, India
84:28.148735:77.332024:Palwal, Haryana, India
85:29.138407:76.693245:Gohana, Haryana, India
86:25.375710:86.474373:Munger, Bihar, India
87:20.388794:78.120407:Yavatmal, Maharashtra, India
88:23.669296:86.151115:Bokaro Steel City, Jharkhand, India
89:21.761524:70.627625:Jetpur, Gujarat, India
90:22.657402:88.867180:Basirhat, West Bengal, India
91:22.700474:88.319069:Konnagar, Mirpur, West Bengal, India
92:23.344315:85.296013:Ranchi, Jharkhand, India
93:14.146319:79.850388:Gudur, Andhra Pradesh, India
94:28.078636:80.471588:Gola Gokarannath, Uttar Pradesh, India
95:27.108416:78.584602:Shikohabad, Uttar Pradesh, India
96:9.823619:77.986565:Tirumangalam, Tamil Nadu, India
97:12.946366:79.959244:Anakaputhur, Sriperumbudur, Tamil Nadu, India
98:17.143908:79.623924:Suryapet, Telangana, India
99:13.340881:74.742142:Udupi, Karnataka, India
100:15.478569:78.483093:Nandyal, Andhra Pradesh, India
101:25.416676:86.129379:Begusarai, Bihar, India
102:21.779188:87.744629:Contai, West Bengal, India
103:21.164993:81.775307:Naya Raipur, Chhattisgarh, India
104:23.125587:88.546867:Payradanga, West Bengal, India
105:22.511976:88.250992:Maheshtala, West Bengal, India
106:12.695032:78.621887:Vaniyambadi, Tamil Nadu, India
107:23.302189:81.356804:Shahdol, Madhya Pradesh, India
108:9.515625:78.100014:Aruppukkottai, Tamil Nadu, India
109:20.484348:86.119194:Salipur, Odisha, India
110:24.953514:84.011787:Sasaram, Bihar, India
111:21.092159:71.770462:Mahuva, Gujarat, India
112:25.563322:84.869804:Bihta, Bihar, India
113:22.835602:74.255989:Dahod, Gujarat, India
114:29.607981:78.342674:Najibabad, Uttar Pradesh, India
115:27.122196:84.072235:Bagaha, Bihar, India
116:25.312717:86.490608:Jamalpur, Bihar, India
117:25.920074:80.809998:Fatehpur, Uttar Pradesh, India
118:10.365581:77.970657:Dindigul, Tamil Nadu, India
119:22.668312:85.625511:Chakradharpur, Jharkhand, India
120:21.640575:69.605965:Porbandar, Gujarat, India
121:22.663696:87.746803:Ghatal, West Bengal, India
122:22.542061:88.318954:Khidirpur, Kolkata, West Bengal, India
123:12.523731:76.894684:Mandya, Karnataka, India
124:19.990751:72.743675:Dahanu, Maharashtra, India
125:30.480042:74.518204:Sri Muktsar Sahib, Punjab, India
126:12.834174:79.703644:Kanchipuram, Tamil Nadu, India
127:22.633492:74.095993:Dhanpur, Gujarat, India
128:12.971599:77.594566:Bengaluru, Karnataka, India
129:29.471397:77.696732:Muzaffarnagar, Uttar Pradesh, India
130:24.916355:79.581184:Chhatarpur, Madhya Pradesh, India
131:26.500999:90.535233:Bongaigaon, Assam, India
132:31.604889:76.919533:RAK Tiles, Ner Chowk, Himachal Pradesh, India
133:18.125875:76.750969:Nilanga, Maharashtra, India
134:21.603176:71.222084:Amreli, Gujarat, India
135:28.411331:77.848434:Bulandshahar, Uttar Pradesh, India
136:22.346010:87.231972:Kharagpur, West Bengal, India
137:25.556044:84.660332:Arrah, Bihar, India
138:27.995020:74.961792:Fatehpur, Rajasthan, India
139:22.086868:79.543488:Seoni, Madhya Pradesh, India
140:26.732311:88.410286:Siliguri, West Bengal, India
141:12.915605:74.855965:Mangaluru, Karnataka, India
142:23.946800:88.049713:Kandi, West Bengal, India
143:17.247253:80.151443:Khammam, Telangana, India
144:21.324196:78.013832:Morshi, Maharashtra, India
145:32.564522:75.023148:Vijaypur, Jammu and Kashmir, India
146:26.994154:83.034798:Santha, Uttar Pradesh, India
147:20.464079:74.996857:Chalisgaon, Maharashtra, India
148:26.811712:79.004692:Etawah, Uttar Pradesh, India
149:22.916706:87.070351:Simlapal, West Bengal, India
150:27.949080:80.782402:Lakhimpur, Uttar Pradesh, India
151:25.351280:85.031143:Masaurhi, Bihar, India
152:23.007950:72.553757:Bhatta, Paldi, Ahmedabad, Gujarat, India
153:26.264776:82.072708:Sultanpur, Uttar Pradesh, India
154:23.012794:87.593948:Kotulpur, West Bengal, India
155:22.610683:75.680862:Pithampur, Madhya Pradesh, India
156:25.912968:81.991653:Bela Pratapgarh, Uttar Pradesh, India
157:25.584042:83.577019:Ghazipur, Uttar Pradesh, India
158:25.564711:83.977745:Buxar, Bihar, India
159:25.101145:76.513161:Baran, Rajasthan, India
160:19.969227:73.743195:Saideep Enterprises, Ambad Nashik, Maharashtra, India
161:23.996620:85.369110:Hazaribagh, Jharkhand, India
162:28.978298:79.399612:Rudrapur, Uttarakhand, India
163:20.112093:79.118698:Success Point, Bhadravati, Maharashtra, India
164:21.812876:80.183830:Balaghat, Madhya Pradesh, India
165:9.897157:76.713409:Thodupuzha, Kerala, India
166:17.554356:80.619736:Kothagudem, Telangana, India
167:22.369043:87.554420:Debra, West Bengal, India
168:22.318083:72.618988:Khambhat, Gujarat, India
169:17.320486:76.839752:Kalaburagi, Karnataka, India
170:32.110542:76.536224:Palampur, Himachal Pradesh, India
171:21.342585:83.624199:Bargarh, Odisha, India
172:25.748695:82.698441:Jaunpur, Uttar Pradesh, India
173:27.570839:81.598022:Bahraich, Uttar Pradesh, India
174:20.792713:76.694328:Shegaon, Maharashtra, India
175:15.139393:76.921440:Ballari, Karnataka, India
176:28.730579:77.775879:Hapur, Uttar Pradesh, India
177:29.210421:78.961830:Kashipur, Uttarakhand, India
178:26.367811:79.629158:Sikandra, Uttar Pradesh, India
179:10.784703:76.653145:Palakkad, Kerala, India
180:29.594189:79.653893:Almora, Uttarakhand, India
181:22.601292:75.302467:Dhar, Madhya Pradesh, India
182:17.437462:78.448288:Ameerpet, Hyderabad, Telangana, India
183:19.263334:75.752426:Georai, Maharashtra, India
184:16.997080:79.967361:Kodad, Telangana, India
185:26.574480:91.975243:Kalaigaon, Assam, India
186:19.551146:74.928162:Newasa, Maharashtra, India
187:21.004194:75.563942:Jalgaon, Maharashtra, India
188:21.109133:82.097900:Mahasamund, Chhattisgarh, India
189:24.184713:86.302193:Giridih, Jharkhand, India
190:25.771103:87.482185:Purnea, Bihar, India
191:27.703669:76.201195:Kotputli, Rajasthan, India
192:24.597349:76.160980:Jhalawar, Rajasthan, India
193:28.923548:79.700722:Sitarganj, Uttarakhand, India
194:21.191774:81.718285:Barauda, Chhattisgarh, India
195:17.611629:78.081810:Sangareddy, Telangana, India
196:26.072067:83.185654:Azamgarh, Uttar Pradesh, India
197:29.320511:73.899399:Suratgarh, Rajasthan, India
198:12.252576:79.416924:Gingee, Tamil Nadu, India
199:25.862968:85.781029:Samastipur, Biha, India
200:25.758503:84.148911:Ballia, Uttar Pradesh, India
201:25.213928:84.989555:Jahanabad, Bihar, India
202:25.973787:75.151535:Kekri, Rajasthan, India
203:26.702518:77.893394:Dholpur, Rajasthan, India
204:12.735126:77.829338:Hosur, Tamil Nadu, India
205:28.293783:79.804459:Bisalpur, Uttar Pradesh, India
206:25.436298:78.567352:Jhansi, Uttar Pradesh, India
207:22.363848:82.734840:Korba, Chhattisgarh, India
208:16.814524:81.526558:Tadepalligudem, Andhra Pradesh, India
209:21.097855:81.033707:Rajnandgaon, Chhattisgarh, India
210:23.041924:84.540833:Gumla, Jharkhand, India
211:27.147869:74.859489:Kuchaman City, Rajasthan, India
212:11.477696:77.873886:Sankari, Tamil Nadu, India
213:26.298552:87.265388:Forbesganj, Bihar, India
214:12.999464:80.117729:Thandalam, Tamil Nadu, India
215:30.704649:76.717873:Sahibzada Ajit Singh Nagar, Punjab, India
216:27.558750:78.662567:Etah, Uttar Pradesh, India
217:23.406979:88.365593:Nabadwip, West Bengal, India
218:29.903839:73.877190:Sri Ganganagar, Rajasthan, India
219:18.007202:79.558296:Hanamkonda, Telangana, India
220:18.761820:79.480904:Ramagundam, Telangana, India
221:25.949638:83.558647:Mau, Uttar Pradesh, India
222:18.966354:76.748077:Gangakhed, Maharashtra, India
223:31.052128:76.117500:Rahon, Punjab, India
224:23.426788:72.657074:Mansa, Gujarat, India
225:29.592957:76.119247:Narwana, Haryana, India
226:14.422232:78.226341:Pulivendula, Andhra Pradesh, India
227:19.314962:84.794090:Brahmapur, Odisha, India
228:9.077854:77.345184:Kadayanallur, Tamil Nadu, India
229:30.210995:74.945473:Bathinda, Punjab, India
230:22.170424:71.668427:Botad, Gujarat, India
231:27.036007:88.262672:Darjeeling, West Bengal, India
232:17.532310:73.517792:Chiplun, Maharashtra, India
233:29.219677:79.512459:Haldwani, Uttarakhand, India
234:11.744699:79.768021:Cuddalore, Tamil Nadu, India
235:21.705723:72.998199:Bharuch, Gujarat, India
236:25.387270:82.568031:Bhadohi, Uttar Pradesh, India
237:19.925682:74.728477:Vaijapur, Maharashtra, India
238:11.608495:75.591705:Vadakara, Kerala, India
239:26.587299:85.501183:Sitamarhi, Bihar, India
240:25.017258:85.416161:Rajgir, Bihar, India
241:13.929930:75.568100:Shimoga, Karnataka, India
242:26.536938:80.489960:Unnao, Uttar Pradesh, India
243:26.437252:91.620110:Rangia, Assam, India
244:19.970324:79.303360:Chandrapur, Maharashtra, India
245:24.833271:92.778908:Silchar, Assam, India
246:24.684690:92.564339:Hailakandi, Assam, India
247:23.727106:92.717636:Aizawl, Mizoram, India
248:22.607672:88.394493:South Dum Dum, West Bengal, India
249:17.006298:74.865372:Kavathe Mahankal, Maharashtra, India
250:14.464103:75.921661:Davanagere, Karnataka, India
251:22.552437:75.756531:Mhow, Madhya Pradesh, India
252:30.816460:75.171707:Moga, Punjab, India
253:22.859726:88.404839:Bhatpara, Kolkata, West Bengal, India
254:31.823462:75.205063:Batala, Punjab, India
255:27.387049:79.588127:Farrukhabad, Uttar Pradesh, India
256:29.185776:74.771782:Nohar, Rajasthan, India
257:23.742628:86.411140:Jharia, Jharkhand, India
258:31.527355:75.913673:Hoshiarpur, Punjab, India
259:25.237284:88.783058:Balurghat, West Bengal, India
260:26.347883:86.071861:Madhubani, Bihar, India
261:24.043468:78.330353:Khurai, Madhya Pradesh, India
262:21.741323:70.281120:Upleta, Gujarat, India
263:29.959694:77.549057:Saharanpur, Uttar Pradesh, India
264:28.667856:77.449791:Ghaziabad, Uttar Pradesh, India
265:21.468185:83.975403:Sambalpur, Odisha, India
266:25.883495:86.600624:Saharsa, Bihar, India
267:26.880077:93.608330:Gohpur, Assam, India
268:23.061089:87.992584:Jamalpur, West Bengal, India
269:16.432983:81.696617:Narsapur, Andhra Pradesh, India
270:11.072035:76.074005:Malappuram, Kerala, India
271:13.611159:77.516960:Gauribidanur, Karnataka, India
272:13.435455:77.731476:Chikkaballapura, Karnataka, India
273:27.472834:94.911964:Dibrugarh, Assam, India
274:27.338936:88.606506:Gangtok, Sikkim, India
275:25.830870:72.240120:Balotra, Rajasthan, India
276:17.928122:79.894531:Narsampet, Telangana, India
277:11.258753:75.780411:Kozhikode, Kerala, India
278:26.731142:77.033752:Hindaun City, Rajasthan, India
279:10.959815:79.380898:Kumbakonam, Tamil Nadu, India
280:24.579716:80.832176:Satna, Madhya Pradesh, India
281:22.057163:78.938202:Chhindwara, Madhya Pradesh, India
282:15.505723:80.049919:Ongole, Andhra Pradesh, India
283:26.898392:83.979713:Padrauna, Uttar Pradesh, India
284:20.707228:77.002960:Akola, Maharashtra, India
285:20.492281:74.026009:Kalwan, Maharashtra, India
286:18.386620:78.802246:Sircilla, Telangana, India
287:28.895515:76.606613:Rohtak, Haryana, India
288:21.215500:86.122200:Anandapur, Odisha, India
289:13.090994:80.224998:DCKAP Technologies, Anna Nagar, Chennai, Tamil Nadu, India
290:31.213682:76.144012:Garhshankar, Punjab, India
291:18.794905:78.912872:Jagtial, Telangana, India
292:26.894478:76.334824:Dausa, Rajasthan, India
293:28.771646:77.507561:Muradnagar, Uttar Pradesh, India
294:9.512137:77.634087:Srivilliputhur, Tamil Nadu, India
295:9.548395:78.591637:Paramakudi, Tamil Nadu, India
296:26.937834:81.188324:Barabanki, Uttar Pradesh, India
297:17.440325:78.498894:Secunderabad, Telangana, India
298:25.133699:82.564430:Mirzapur, Uttar Pradesh, India
299:11.519588:79.325157:Virudhachalam, Tamil Nadu, India
300:28.128876:75.399506:Jhunjhunu, Rajasthan, India
301:25.454794:78.133957:Karera, Madhya Pradesh, India
302:9.591441:76.522171:Kottayam, Kerala, India
303:25.424120:77.657990:Shivpuri, Madhya Pradesh, India
304:21.042410:75.063873:Amalner, Maharashtra, India
305:23.533440:87.321930:Durgapur, West Bengal, India
306:28.080379:80.466644:Gola Gokrannath Kheri, Uttar Pradesh, India
307:15.460252:75.010284:Dharwad, Karnataka, India
308:20.385181:72.911453:Vapi, Gujarat, India
309:27.159101:78.395760:Firozabad, Uttar Pradesh, India
310:15.386033:73.844040:Vasco da Gama, Goa, India
311:23.673944:86.952393:Asansol, West Bengal, India
312:8.959021:77.312935:Tenkasi, Tamil Nadu, India
313:18.296974:83.896782:Srikakulam, Andhra Pradesh, India
314:13.009711:76.102898:Hassan, Karnataka, India
315:28.292290:74.966583:Churu, Rajasthan, India
316:28.406963:77.849831:Bulandshahr, Uttar Pradesh, India
317:20.550573:78.841141:Hinganghat, Maharashtra, India
318:25.168901:86.092987:Lakhisarai, Bihar, India
319:25.292509:79.872665:Mahoba, Uttar Pradesh, India
320:29.536535:75.025505:Sirsa, Haryana, India
321:23.174049:88.563934:Ranaghat, West Bengal, India
322:18.393400:77.113144:Udgir, Maharashtra, India
323:23.334169:75.037636:Ratlam, Madhya Pradesh, India
324:24.620001:74.680000:Nimbahera, Rajasthan, India
325:24.685001:83.068352:Robertsganj, Uttar Pradesh, India
326:21.825733:76.352570:Khandwa, Madhya Pradesh, India
327:20.450474:85.905533:Rajendra Nagar, Cuttack, Odisha, India
328:23.586761:72.369949:Mehsana, Gujarat, India
329:29.511778:75.455215:Fatehabad, Haryana, India
330:25.618530:88.125587:Raiganj, West Bengal, India
331:19.206861:73.875801:Junnar, Maharashtra, India
332:25.900000:81.300003:Unchahar, Uttar Pradesh, India
333:24.885483:86.920731:Banka, Bihar, India
334:20.809378:75.778923:Jamner, Maharashtra, India
335:20.711622:76.566132:Khamgaon, Maharashtra, India
336:20.149822:76.574036:Mehkar, Maharashtra, India
337:24.530727:81.299110:Rewa, Madhya Pradesh, India
338:29.685629:76.990547:Karnal, Haryana, India
339:16.709002:74.456078:Ichalkaranji, Maharashtra, India
340:25.199350:85.517609:Bihar Sharif, Bihar, India
341:26.323921:89.451088:Cooch Behar, West Bengal, India
342:24.813967:93.950279:Imphal, Manipur, India
343:23.125837:72.057442:Viramgam, Gujarat, India
344:33.729729:75.149780:Anantnag, Jammu and Kashmir, India
345:15.496777:73.827827:Panaji, Goa, India
346:22.554029:72.948936:Anand, Gujarat, India
347:20.251549:74.438354:Manmad, Maharashtra, India
348:20.922070:77.326698:Daryapur, Maharashtra, India
349:20.634085:79.140388:Arvi, Maharashtra, India
350:21.273060:77.523422:Paratwada, Maharashtra, India
351:21.124857:73.112610:Bardoli, Gujarat, India
352:24.696135:84.986954:Bodhgaya, Bihar, India
353:27.480000:95.180000:Chabua, Assam, India
354:16.504227:75.290932:Jamkhandi, Karnataka, India
355:23.232513:87.863419:Burdwan, West Bengal, India
356:13.338263:77.101410:Tumakuru, Karnataka, India
357:20.127028:85.105057:Nayagarh, Odisha, India
358:26.980000:94.629997:Sivasagar, Assam, India
359:20.067541:78.958054:Wani, Maharashtra, India
360:14.801439:74.124069:Karwar, Karnataka, India
361:31.379999:75.379997:Kapurthala, Punjab, India
362:34.216496:74.771942:Ganderbal, Jammu and Kashmir, India
363:24.650000:77.320000:Guna, Madhya Pradesh, India
364:30.702877:76.220222:Khanna, Punjab, India
365:16.737509:78.008125:Mahbubnagar, Telangana, India
366:17.056620:79.268333:Nalgonda, Telangana, India
367:10.010366:77.476814:Theni, Tamil Nadu, India
368:16.703285:81.100388:Eluru, Andhra Pradesh, India
369:19.912676:77.566910:Pusad, Maharashtra, India
370:17.251160:78.437737:Shamshabad, Telangana, India
371:19.901054:75.352478:Aurangabad, Maharashtra, India
372:23.233774:87.087250:Bankura, West Bengal, India
373:24.220198:83.035957:Renukoot, Uttar Pradesh, India
374:17.686001:83.008781:Anakapalle, Andhra Pradesh, India
375:28.452393:77.697205:Sikandrabad, Uttar Pradesh, India
376:28.526592:77.290169:Saidabad, New Delhi, Delhi, India
377:13.094454:77.586014:Yelahanka, Bengaluru, Karnataka, India
378:29.582861:80.218185:Pithoragarh, Uttarakhand, India
379:23.530001:77.820000:Vidisha, Madhya Pradesh, India
380:20.230000:79.000000:Warora, Maharashtra, India
381:21.719477:73.151009:Jhagadia, Gujarat, India
382:22.811989:70.823616:Morbi, Gujarat, India
383:23.259933:77.412613:Bhopal, Madhya Pradesh, India
384:23.829321:91.277847:Agartala, Tripura, India
385:21.170000:79.650002:Bhandara, Maharashtra, India
386:18.150663:74.576782:Baramati, Maharashtra, India
387:27.029617:74.716324:Makrana, Rajasthan, India
388:29.398928:76.977081:Panipat, Haryana, India
389:23.198437:77.095184:Sehore, Madhya Pradesh, India
390:13.550000:78.500000:Madanapalle, Andhra Pradesh, India
391:32.365288:75.597290:Madhopur, Punjab, India
392:24.833946:92.779282:Silchar, Cachar, India
393:23.242001:69.666931:Bhuj, Gujarat, India
394:27.883743:79.912247:Shahjahanpur, Uttar Pradesh, India
395:26.230299:81.240891:Raebareli, Uttar Pradesh, India
396:23.795399:86.427040:Dhanbad, Jharkhand, India
397:28.719999:78.279999:Hasanpur, Uttar Pradesh, India
398:23.185884:79.974380:Jabalpur, Madhya Pradesh, India
399:21.546185:74.470009:Shahada, Maharashtra, India
400:12.295810:76.639381:Mysuru, Karnataka, India
401:12.228628:79.066544:Tiruvannamalai, Tamil Nadu, India
402:22.395582:87.741882:Panskura, West Bengal, India
403:29.372442:78.135849:Bijnor, Uttar Pradesh, India
404:30.483997:76.593948:Rajpura, Punjab, India
405:22.762886:78.352478:Pipariya, Madhya Pradesh, India
406:26.469999:79.519997:Auraiya, Uttar Pradesh, India
407:28.680000:76.919998:Bahadurgarh, Haryana, India
